=== BASELINE ===

model                          test    fgsm    pgd   deepfool carlini    fgsm    pgd    deepfool carlini
                                        -----baseline adversaries-----    -----robust adversaries-----

original                       99.13   5.91    0.71    34.83   28.96
fgsm_robust                    99.06   98.91   32.55   96.08   95.82     3.62    1.12   31.70    39.89    # 24 ago 15:49
deepfool_robust                99.03   23.11   35.55   99.20   95.70     17.41   0.70   54.31    35.48    # 24 ago 13:09:18
pgd_robust                     99.10   44.60   99.02   98.34   97.19     1.40    0.68   35.64    58.64    # 24 ago 13:08
carlini_robust                 99.10   14.74   3.85    94.63   99.06     2.42    0.68   33.27    31.18    # 24 ago 13:09:45

=== RANDREG ===                                              
                                                                         
lambda  batch_s  epochs proj   test    fgsm    pgd  deepfool  carlini    fgsm    pgd   deepfool  carlini
                                        -----baseline adversaries-----    -----randreg adversaries-----
                                                                         
0.5     1000      12     1     97.52   26.24   49.99   93.92   91.45                    -
0.5     1000      12     3     98.31   15.95   21.93   94.00   91.33     13.80   1.4    -
0.5     1000      5      5     98.15   17.72   25.75   93.49   91.00                    -
0.5     500       12     3     98.39   15.18   16.20   93.16   90.45     21.22   2.38    33.08   38.10    # norm axis=1
0.5     1000      12     3     98.25   17.28   23.82   94.73   92.04     14.15   1.29    49.40   36.76    # 22 ago, 10:25, flat inputs nel gradiente, no norm
0.5     1000      12     3     70.00   27.00   50.00   65.00   64.00     5.00    8.00    -                # 23 ago 14:25:13 size=(18,28)
0.5     1000      12     3     98.31   15.18   17.54   93.62   90.96     15.61   1.32    54.50   36.29    # 23 ago 17:20 size=(10,20)

=== RANDENS ===

(proj, size)                   test    fgsm    pgd    deepfool  carlini
                               
(6,8)                          96.6    31.44   64.18   93.93   92.72
(9,8)                          97.3    32.89   63.35   94.47   93.29
(12,8)                         97.2    32.39   64.53   94.47   93.36
(15,8)                         96.9    33.07   65.00   94.59   93.35
(6,12)                         97.5    29.09   60.89   95.53   94.29
(9,12)                         98.0    29.40   61.73   95.78   94.60
(12,12)                        97.9    30.04   62.25   95.84   94.65
(15,12)                        97.7    30.77   63.85   95.90   94.61
(6,16)                         97.9    27.98   59.02   96.28   94.85
(9,16)                         98.2    27.23   58.93   96.38   95.23
(12,16)                        98.1    27.43   59.79   96.50   95.32
(15,16)                        98.2    27.94   60.52   96.42   95.27
(6,20)                         98.1    24.40   57.20   96.38   95.44
(9,20)                         98.4    25.18   57.57   96.51   95.46
(12,20)                        98.1    25.59   58.18   96.57   95.44
(15,20)                        98.2    25.67   58.29   96.62   95.49
