eval_set      proj		size		accuracy

test          6           8         96.60
test          9           8         96.80
test          12          8         96.82
test          15          8         96.92
test          6           12        97.57
test          9           12        97.68
test          12          12        97.73
test          15          12        97.74
test          6           16        97.98
test          9           16        98.06
test          12          16        98.16
test          15          16        98.20
test          6           20        98.16
test          9           20        98.19
test          12          20        98.19
test          15          20        98.22
fgsm          6           8         31.44
fgsm          9           8         32.89
fgsm          12          8         32.39
fgsm          15          8         33.07
fgsm          6           12        29.09
fgsm          9           12        29.40
fgsm          12          12        30.04
fgsm          15          12        30.77
fgsm          6           16        27.98
fgsm          9           16        27.23
fgsm          12          16        27.43
fgsm          15          16        27.94
fgsm          6           20        24.40
fgsm          9           20        25.18
fgsm          12          20        25.59
fgsm          15          20        25.67
deepfool      6           8         93.93
deepfool      9           8         94.47
deepfool      12          8         94.47
deepfool      15          8         94.59
deepfool      6           12        95.53
deepfool      9           12        95.78
deepfool      12          12        95.84
deepfool      15          12        95.90
deepfool      6           16        96.28
deepfool      9           16        96.38
deepfool      15          16        96.42
deepfool      12          16        96.50
deepfool      6           20        96.38
deepfool      9           20        96.51
deepfool      12          20        96.57
deepfool      15          20        96.62
proj_grad     6           8         64.18
proj_grad     9           8         63.35
proj_grad     12          8         64.53
proj_grad     15          8         65.00
proj_grad     6           12        60.89
proj_grad     9           12        61.73
proj_grad     12          12        62.25
proj_grad     15          12        63.85
proj_grad     6           16        59.02
proj_grad     9           16        58.93
proj_grad     12          16        59.79
proj_grad     15          16        60.52
proj_grad     6           20        57.20
proj_grad     9           20        57.57
proj_grad     12          20        58.18
proj_grad     15          20        58.29
carlini_linf  6           8         92.72
carlini_linf  9           8         93.29
carlini_linf  12          8         93.36
carlini_linf  15          8         93.35
carlini_linf  6           12        94.29
carlini_linf  9           12        94.60
carlini_linf  12          12        94.65
carlini_linf  15          12        94.61
carlini_linf  6           16        94.85
carlini_linf  9           16        95.23
carlini_linf  12          16        95.32
carlini_linf  15          16        95.27
carlini_linf  6           20        95.44
carlini_linf  9           20        95.46
carlini_linf  12          20        95.44
carlini_linf  15          20        95.49
