OLD MODEL
n_proj		size_proj		time (s)
6           8               165.151494026
6           12              292.957458019
6           16              484.45188117
6           20              704.728865862
9           8               305.620163918
9           12              509.997507095
9           16              826.703104019
9           20              1229.960742
12          8               337.230983019
12          12              608.353280067
12          16              1020.520818
12          20              1520.01840806
15          8               591.027954102
15          12              972.89905715
15          16              1562.45664001
15          20              2310.75436187


NEW MODEL
n_proj		size_proj		time (s)
6	    	8	        	161.56358885765076
9	    	8	        	244.69218850135803
12	    	8	        	330.3099126815796
15	    	8	        	449.8663718700409
6	    	12	        	306.13498520851135
9	    	12	        	462.9905071258545
12	    	12	        	614.2709856033325
15	    	12	        	754.4713060855865
6	    	16	        	481.06000685691833
9	    	16	        	730.0027039051056
12	    	16	        	969.5257754325867
15		    16	        	1202.7333579063416
6		    20      		713.6330585479736
9		    20		        1042.581505537033
12		    20 		        1423.9588317871094
15		    20		        1784.10049700737
