eval_set      proj		size		accuracy

test          6           8         96.66
test          9           8         96.90
test          12          8         96.85
test          15          8         96.92
test          6           12        97.74
test          9           12        97.65
test          12          12        97.64
test          15          12        97.74
test          6           16        98.07
test          9           16        98.07
test          12          16        98.02
test          15          16        98.20
test          6           20        98.21
test          9           20        98.18
test          12          20        98.21
test          15          20        98.22
fgsm          6           8         30.26
fgsm          9           8         32.12
fgsm          12          8         30.89
fgsm          15          8         33.07
fgsm          6           12        29.26
fgsm          9           12        28.16
fgsm          12          12        29.98
fgsm          15          12        30.77
fgsm          6           16        28.15
fgsm          9           16        26.49
fgsm          12          16        27.41
fgsm          15          16        27.94
fgsm          6           20        25.26
fgsm          9           20        25.26
fgsm          12          20        24.92
fgsm          15          20        25.67
deepfool      6           8         93.82
deepfool      9           8         94.12
deepfool      12          8         94.38
deepfool      15          8         94.59
deepfool      6           12        95.43
deepfool      9           12        95.77
deepfool      12          12        95.82
deepfool      15          12        95.90
deepfool      6           16        96.31
deepfool      9           16        96.32
deepfool      15          16        96.50
deepfool      12          16        96.41
deepfool      6           20        96.52
deepfool      9           20        96.51
deepfool      12          20        96.58
deepfool      15          20        96.62
proj_grad     6           8         62.01
proj_grad     9           8         62.23
proj_grad     12          8         64.50
proj_grad     15          8         65.00
proj_grad     6           12        61.56
proj_grad     9           12        61.19
proj_grad     12          12        64.04
proj_grad     15          12        63.85
proj_grad     6           16        58.08
proj_grad     9           16        57.97
proj_grad     12          16        59.42
proj_grad     15          16        60.52
proj_grad     6           20        55.39
proj_grad     9           20        56.94
proj_grad     12          20        57.42
proj_grad     15          20        58.29
carlini_linf  6           8         92.60
carlini_linf  9           8         92.92
carlini_linf  12          8         93.25
carlini_linf  15          8         93.35
carlini_linf  6           12        94.43
carlini_linf  9           12        94.58
carlini_linf  12          12        94.64
carlini_linf  15          12        94.61
carlini_linf  6           16        94.85
carlini_linf  9           16        95.21
carlini_linf  12          16        95.28
carlini_linf  15          16        95.27
carlini_linf  6           20        95.43
carlini_linf  9           20        95.41
carlini_linf  12          20        95.39
carlini_linf  15          20        95.49
