n_proj		size_proj		time (s)

6           8               165.151494026
6           12              292.957458019
6           16              484.45188117
6           20              704.728865862
9           8               305.620163918
9           12              509.997507095
9           16              826.703104019
9           20              1229.960742
12          8               337.230983019
12          12              608.353280067
12          16              1020.520818
12          20              1520.01840806
15          8               591.027954102
15          12              972.89905715
15          16              1562.45664001
15          20              2310.75436187
